iso2,iso3,country,var,var_long,var_axis,var_question,year,obs_value,year_date
BG,BGR,Bulgaria,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,0.56,2016-01-01
BG,BGR,Bulgaria,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,6.7,2016-01-01
BG,BGR,Bulgaria,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,39.856819122163,2017-01-01
BG,BGR,Bulgaria,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,0.653364722941743,2015-01-01
BG,BGR,Bulgaria,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,7.15176973515422,2016-01-01
BG,BGR,Bulgaria,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,7.19844218199304,2016-01-01
BG,BGR,Bulgaria,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,32.6311356622874,2017-01-01
BG,BGR,Bulgaria,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,42.5454,2016-01-01
BG,BGR,Bulgaria,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,28.0631390550685,2015-01-01
BG,BGR,Bulgaria,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,0.6205,2015-01-01
BG,BGR,Bulgaria,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,4.19,2016-01-01
BG,BGR,Bulgaria,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,8.37,2017-01-01
CY,CYP,Cyprus,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.2,2015-01-01
CY,CYP,Cyprus,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,1571.48473694012,2017-01-01
CY,CYP,Cyprus,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,10.179097312096,2015-01-01
CY,CYP,Cyprus,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,14.3081761006289,2016-01-01
CY,CYP,Cyprus,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.27,2016-01-01
CY,CYP,Cyprus,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.0655129554138425,2017-01-01
CY,CYP,Cyprus,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.0052999998,2015-01-01
CY,CYP,Cyprus,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,0.19,2016-01-01
CY,CYP,Cyprus,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,15.26,2016-01-01
CY,CYP,Cyprus,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,195.429703935494,2017-01-01
CY,CYP,Cyprus,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,0.873748483789396,2015-01-01
CY,CYP,Cyprus,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,35.0494601969817,2016-01-01
CY,CYP,Cyprus,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,4.79511689732198,2016-01-01
CY,CYP,Cyprus,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,54.8483155027539,2017-01-01
CY,CYP,Cyprus,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,74.0946,2016-01-01
CY,CYP,Cyprus,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,34.3410555568865,2015-01-01
CY,CYP,Cyprus,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,1.6256,2015-01-01
CY,CYP,Cyprus,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,5.3,2016-01-01
CY,CYP,Cyprus,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,27.27,2017-01-01
CZ,CZE,Czechia,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.8,2015-01-01
CZ,CZE,Czechia,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,983.663584407335,2017-01-01
CZ,CZE,Czechia,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,4.52088335478297,2015-01-01
CZ,CZE,Czechia,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,15.9104082139604,2016-01-01
CZ,CZE,Czechia,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.64,2016-01-01
CZ,CZE,Czechia,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.0080710152107321,2017-01-01
CZ,CZE,Czechia,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.132999998,2015-01-01
CZ,CZE,Czechia,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,1.01,2016-01-01
CZ,CZE,Czechia,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,18,2016-01-01
CZ,CZE,Czechia,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,151.340130562766,2017-01-01
CZ,CZE,Czechia,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,1.23392560472992,2015-01-01
CZ,CZE,Czechia,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,4.16995191636599,2016-01-01
CZ,CZE,Czechia,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,2.72200406005938,2016-01-01
CZ,CZE,Czechia,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,65.7567260198443,2017-01-01
CZ,CZE,Czechia,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,43.5078,2016-01-01
CZ,CZE,Czechia,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,26.4554680020722,2015-01-01
CZ,CZE,Czechia,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,1.5459,2015-01-01
CZ,CZE,Czechia,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,4.43,2016-01-01
CZ,CZE,Czechia,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,19.56,2017-01-01
DE,DEU,Germany,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,1.3,2015-01-01
DE,DEU,Germany,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,1015.24868872901,2017-01-01
DE,DEU,Germany,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,11.2651204703596,2015-01-01
DE,DEU,Germany,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.076122356487863,2017-01-01
DE,DEU,Germany,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.065800004,2015-01-01
DE,DEU,Germany,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,1.97,2016-01-01
DE,DEU,Germany,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,16.26,2016-01-01
DE,DEU,Germany,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,220.220988544667,2017-01-01
DE,DEU,Germany,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,6.92420636681179,2015-01-01
DE,DEU,Germany,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,7.15976133118761,2016-01-01
DE,DEU,Germany,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,6.44831781009976,2016-01-01
DE,DEU,Germany,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,68.0994694529692,2017-01-01
DE,DEU,Germany,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,75.1954,2016-01-01
DE,DEU,Germany,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,15.1671829213844,2015-01-01
DE,DEU,Germany,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,2.2378,2015-01-01
DE,DEU,Germany,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,6.63,2016-01-01
DE,DEU,Germany,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,52.73,2017-01-01
DK,DNK,Denmark,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,1.4,2015-01-01
DK,DNK,Denmark,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,2874.00659167206,2017-01-01
DK,DNK,Denmark,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,14.2109012315839,2015-01-01
DK,DNK,Denmark,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,33.7227018791265,2016-01-01
DK,DNK,Denmark,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,1.07,2016-01-01
DK,DNK,Denmark,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.0666305680237824,2017-01-01
DK,DNK,Denmark,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.073199999,2015-01-01
DK,DNK,Denmark,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,2.02,2016-01-01
DK,DNK,Denmark,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,41.6,2016-01-01
DK,DNK,Denmark,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,591.77886604941,2017-01-01
DK,DNK,Denmark,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,7.13136474303316,2015-01-01
DK,DNK,Denmark,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,9.22910363087477,2016-01-01
DK,DNK,Denmark,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,8.30069913480521,2016-01-01
DK,DNK,Denmark,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,48.2339907169553,2017-01-01
DK,DNK,Denmark,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,70.9157,2016-01-01
DK,DNK,Denmark,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,19.5529361641094,2015-01-01
DK,DNK,Denmark,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,1.5356,2015-01-01
DK,DNK,Denmark,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,10.31,2016-01-01
DK,DNK,Denmark,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,70.6,2017-01-01
EE,EST,Estonia,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.6,2015-01-01
EE,EST,Estonia,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,1421.36686847036,2017-01-01
EE,EST,Estonia,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,7.16422949457086,2015-01-01
EE,EST,Estonia,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,12.0855614973262,2016-01-01
EE,EST,Estonia,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.57,2016-01-01
EE,EST,Estonia,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.120254530127265,2017-01-01
EE,EST,Estonia,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.055500001,2015-01-01
EE,EST,Estonia,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,0.63,2016-01-01
EE,EST,Estonia,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,22.84,2016-01-01
EE,EST,Estonia,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,203.703914839602,2017-01-01
EE,EST,Estonia,3.3.1,Innovation expenditures per person employed in innovation-active enterprises,PCT patent applications per billion GDP (in PPS),How much is spent on innovation per employee in companies actively engaged in innovation,2015,1.20985246916655,2015-01-01
EE,EST,Estonia,3.3.2,Cloud computing in enterprises,Trademark applications per billion GDP (in PPS),What percentage of enterprises use intermediate or advanced cloud computing services for their operations,2016,13.9234631726243,2016-01-01
EE,EST,Estonia,3.3.3,Employed ICT specialists,Design applications per billion GDP (in PPS),How many specialists in information and communication technologies (ICT) are employed within the economy,2016,3.8734849150898,2016-01-01
EE,EST,Estonia,4.2.1,Medium and high-tech product exports,Exports of medium and high technology products as a share of total product exports,What is the value of exports of medium and high-tech products,2017,40.0586870664281,2017-01-01
EE,EST,Estonia,4.2.2,Knowledge-intensive services exports,Knowledge-intensive services exports as a percentage of total services exports,What is the value of exports of services requiring advanced knowledge and skills,2016,47.8473,2016-01-01
EE,EST,Estonia,4.2.3,High tech imports from partners outside of the EU,High-tech imports from outside the EU,How dependent is a country on high tech imports from outside the EU?,2015,41.3098811854654,2015-01-01
EE,EST,Estonia,4.3.1,Resource productivity,Resource productivity,How efficiently are resources being used in production processes,2015,0.7802,2015-01-01
EE,EST,Estonia,4.3.2,Production-based CO2 produtivity,Production-based CO2 productivity,How efficiently is the economy generating value while limiting CO2 emissions,2016,3.06,2016-01-01
EE,EST,Estonia,4.3.3,Labour productivity,Labour productivity,How efficiently is economic value being generated for each hour of work,2017,19.21,2017-01-01
GR,GRC,Greece,1.1.1,New doctorate graduates (in STEM),"New doctorate graduates in science, technology, engineering, and mathematics (STEM) per 1,000 population aged 25-34","How many individuals with doctoral degrees in science, technology, engineering, or mathematics fields graduate each year",2015,0.5,2015-01-01
GR,GRC,Greece,1.2.1,International scientific co-publications,International scientific co-publications per million population,How frequently do researchers from different countries collaborate and publish together,2017,849.446141985011,2017-01-01
GR,GRC,Greece,1.2.2,Top 10% most cited publications,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country,What percentage of publications are among the most cited in their respective fields,2015,9.00599089703562,2015-01-01
GR,GRC,Greece,1.2.3,Foreign doctorate students,Foreign doctorate students as a percentage of all doctorate students,How many students from other countries are pursuing doctoral degrees within the country's universities,2016,1.46478536410379,2016-01-01
GR,GRC,Greece,2.1.1,SMEs with product innovations,R&D expenditure in the public sector (percentage of GDP),How many small and medium-sized enterprises have introduced new products to the market,2016,0.57,2016-01-01
GR,GRC,Greece,2.1.2,SMEs with business process innovations,Venture capital expenditures (percentage of GDP),How many SMEs have implemented innovative changes to their business processes,2017,0.0176855626190231,2017-01-01
GR,GRC,Greece,2.1.3,Innovative SMEs collaborating with others,Direct government funding and government tax support for business R&D (percentage of GDP),How many SMEs are engaged in collaborative efforts with other organisations,2015,0.0336000011,2015-01-01
GR,GRC,Greece,2.2.1,Public-private co-publications,R&D expenditure in the business sector (percentage of GDP),How frequently do public and private sector entities collaborate and publish research together,2016,0.42,2016-01-01
GR,GRC,Greece,2.3.1,Trademark applications,Cloud computing in enterprises,How many new trademarks are applied for,2016,9.21,2016-01-01
GR,GRC,Greece,3.2.2,R&D expenditure in the business sector,Public-private co-publications per million population,How much do businesses invest in research and development activities,2017,122.861839493404,2017-01-01
